# Distance		Price
8.487882000000000460e+01 3.789999999999999858e+01
3.065946999999999889e+02 4.220000000000000284e+01
5.619845000000000255e+02 4.729999999999999716e+01
5.619845000000000255e+02 5.479999999999999716e+01
3.905683999999999969e+02 4.310000000000000142e+01
2.175030000000000200e+03 3.210000000000000142e+01
6.234731000000000449e+02 4.029999999999999716e+01
2.876025000000000205e+02 4.670000000000000284e+01
5.512037999999999556e+03 1.880000000000000071e+01
1.783180000000000064e+03 2.210000000000000142e+01
4.052133999999999787e+02 4.139999999999999858e+01
9.045605999999999369e+01 5.810000000000000142e+01
4.922312999999999761e+02 3.929999999999999716e+01
2.469644999999999982e+03 2.380000000000000071e+01
1.164837999999999965e+03 3.429999999999999716e+01
5.792083000000000084e+02 5.050000000000000000e+01
2.929977999999999838e+02 7.009999999999999432e+01
3.508514999999999873e+02 3.739999999999999858e+01
3.681363000000000056e+02 4.229999999999999716e+01
2.338284000000000162e+01 4.770000000000000284e+01
2.275876999999999953e+03 2.930000000000000071e+01
2.791725999999999885e+02 5.160000000000000142e+01
1.360138999999999896e+03 2.460000000000000142e+01
2.791725999999999885e+02 4.789999999999999858e+01
4.806976999999999975e+02 3.879999999999999716e+01
1.487867999999999938e+03 2.700000000000000000e+01
3.838623999999999796e+02 5.620000000000000284e+01
2.764490000000000123e+02 3.360000000000000142e+01
5.574779999999999518e+02 4.700000000000000000e+01
4.512438000000000216e+02 5.710000000000000142e+01
4.519689999999999600e+03 2.210000000000000142e+01
7.694034000000000333e+02 2.500000000000000000e+01
4.885726999999999975e+02 3.420000000000000284e+01
3.236549999999999727e+02 4.929999999999999716e+01
2.053669999999999902e+02 5.510000000000000142e+01
4.079418000000000120e+03 2.730000000000000071e+01
1.935009000000000015e+03 2.289999999999999858e+01
1.360138999999999896e+03 2.530000000000000071e+01
5.779615000000000009e+02 4.770000000000000284e+01
2.893247999999999820e+02 4.620000000000000284e+01
4.082014999999999873e+03 1.590000000000000036e+01
4.066586999999999989e+03 1.819999999999999929e+01
5.194616999999999507e+02 3.470000000000000284e+01
5.127871000000000095e+02 3.410000000000000142e+01
5.334761999999999489e+02 5.389999999999999858e+01
4.888192999999999984e+02 3.829999999999999716e+01
4.639623000000000275e+02 4.200000000000000000e+01
6.407391000000000076e+02 6.150000000000000000e+01
4.605748999999999796e+03 1.340000000000000036e+01
4.510359000000000378e+03 1.319999999999999929e+01
5.125487000000000535e+02 4.420000000000000284e+01
1.758405999999999949e+03 2.069999999999999929e+01
1.438578999999999951e+03 2.700000000000000000e+01
4.922312999999999761e+02 3.889999999999999858e+01
2.893247999999999820e+02 5.170000000000000284e+01
1.160632000000000062e+03 1.369999999999999929e+01
3.712495000000000118e+02 4.189999999999999858e+01
5.647424999999999784e+01 5.350000000000000000e+01
4.510359000000000378e+03 2.260000000000000142e+01
3.360532000000000039e+02 4.239999999999999858e+01
1.931207000000000107e+03 2.130000000000000071e+01
2.596607000000000198e+02 6.320000000000000284e+01
2.175876999999999953e+03 2.769999999999999929e+01
5.334761999999999489e+02 5.500000000000000000e+01
9.957554000000000087e+02 2.530000000000000071e+01
1.237429000000000059e+02 4.429999999999999716e+01
1.935844999999999914e+02 5.070000000000000284e+01
1.048101000000000056e+02 5.679999999999999716e+01
4.642230000000000132e+02 3.620000000000000284e+01
5.619845000000000255e+02 4.200000000000000000e+01
9.045605999999999369e+01 5.900000000000000000e+01
6.407391000000000076e+02 4.079999999999999716e+01
4.245441999999999894e+02 3.629999999999999716e+01
4.082014999999999873e+03 2.000000000000000000e+01
3.795575000000000045e+02 5.439999999999999858e+01
1.360138999999999896e+03 2.950000000000000000e+01
6.164003999999999905e+02 3.679999999999999716e+01
2.185128000000000156e+03 2.560000000000000142e+01
5.524370999999999867e+02 2.980000000000000071e+01
1.414836999999999989e+03 2.650000000000000000e+01
5.334761999999999489e+02 4.029999999999999716e+01
3.777955999999999790e+02 3.679999999999999716e+01
1.509346999999999923e+02 4.810000000000000142e+01
2.707391999999999825e+03 1.769999999999999929e+01
3.832805000000000177e+02 4.370000000000000284e+01
3.389678999999999860e+02 5.079999999999999716e+01
1.455798000000000002e+03 2.700000000000000000e+01
4.066586999999999989e+03 1.830000000000000071e+01
1.406430000000000064e+03 4.800000000000000000e+01
3.947945000000000164e+03 2.530000000000000071e+01
2.740144000000000233e+02 4.539999999999999858e+01
1.402016000000000076e+03 4.320000000000000284e+01
2.469644999999999982e+03 2.180000000000000071e+01
1.146328999999999951e+03 1.610000000000000142e+01
1.675988999999999862e+02 4.100000000000000000e+01
1.048101000000000056e+02 5.179999999999999716e+01
9.045605999999999369e+01 5.950000000000000000e+01
6.174424000000000206e+02 3.460000000000000142e+01
2.893247999999999820e+02 5.100000000000000000e+01
9.045605999999999369e+01 6.220000000000000284e+01
9.647495999999999867e+02 3.820000000000000284e+01
1.701288999999999874e+02 3.289999999999999858e+01
1.935844999999999914e+02 5.439999999999999858e+01
2.083905000000000030e+02 4.570000000000000284e+01
3.924458999999999946e+02 3.050000000000000000e+01
2.929977999999999838e+02 7.100000000000000000e+01
1.895181000000000040e+02 4.710000000000000142e+01
1.360138999999999896e+03 2.660000000000000142e+01
5.925005999999999631e+02 3.410000000000000142e+01
2.147376000000000204e+03 2.839999999999999858e+01
1.048101000000000056e+02 5.160000000000000142e+01
1.966171999999999969e+02 3.939999999999999858e+01
2.102427000000000135e+03 2.310000000000000142e+01
3.932606000000000108e+02 7.599999999999999645e+00
1.438383000000000038e+02 5.329999999999999716e+01
7.379161000000000286e+02 4.639999999999999858e+01
6.396283000000000357e+03 1.219999999999999929e+01
4.197349000000000160e+03 1.300000000000000000e+01
1.583721999999999980e+03 3.060000000000000142e+01
2.893247999999999820e+02 5.960000000000000142e+01
4.922312999999999761e+02 3.130000000000000071e+01
4.922312999999999761e+02 4.800000000000000000e+01
4.149476000000000226e+02 3.250000000000000000e+01
1.854295999999999935e+02 4.550000000000000000e+01
2.791725999999999885e+02 5.739999999999999858e+01
1.935844999999999914e+02 4.860000000000000142e+01
8.046897000000000162e+02 6.289999999999999858e+01
3.838623999999999796e+02 5.500000000000000000e+01
1.249912000000000063e+02 6.070000000000000284e+01
2.168328999999999951e+02 4.100000000000000000e+01
5.355270000000000437e+02 3.750000000000000000e+01
2.147376000000000204e+03 3.069999999999999929e+01
4.827581000000000131e+02 3.750000000000000000e+01
3.733937000000000239e+02 3.950000000000000000e+01
1.869686000000000092e+02 4.220000000000000284e+01
1.009235000000000014e+03 2.080000000000000071e+01
3.905683999999999969e+02 4.679999999999999716e+01
3.190708000000000197e+02 4.739999999999999858e+01
9.424664000000000215e+02 4.350000000000000000e+01
4.922312999999999761e+02 4.250000000000000000e+01
2.893247999999999820e+02 5.139999999999999858e+01
1.559826999999999998e+03 2.889999999999999858e+01
6.406070999999999458e+02 3.750000000000000000e+01
4.922312999999999761e+02 4.010000000000000142e+01
1.360138999999999896e+03 2.839999999999999858e+01
4.512438000000000216e+02 4.550000000000000000e+01
1.854295999999999935e+02 5.220000000000000284e+01
4.898820999999999799e+02 4.320000000000000284e+01
3.780590000000000146e+03 4.510000000000000142e+01
1.794538000000000011e+02 3.970000000000000284e+01
1.707310999999999979e+02 4.850000000000000000e+01
3.877721000000000231e+02 4.470000000000000284e+01
1.360138999999999896e+03 2.889999999999999858e+01
3.761709000000000174e+02 4.089999999999999858e+01
4.066586999999999989e+03 2.069999999999999929e+01
4.082014999999999873e+03 1.559999999999999964e+01
1.264730000000000018e+03 1.830000000000000071e+01
8.159314000000000533e+02 3.560000000000000142e+01
3.905683999999999969e+02 3.939999999999999858e+01
8.159314000000000533e+02 3.739999999999999858e+01
4.966105000000000302e+01 5.779999999999999716e+01
6.164003999999999905e+02 3.960000000000000142e+01
4.066586999999999989e+03 1.159999999999999964e+01
1.048101000000000056e+02 5.550000000000000000e+01
1.854295999999999935e+02 5.520000000000000284e+01
1.236564000000000078e+03 3.060000000000000142e+01
2.929977999999999838e+02 7.359999999999999432e+01
3.300853999999999928e+02 4.339999999999999858e+01
5.151122000000000298e+02 3.739999999999999858e+01
1.962627999999999929e+03 2.350000000000000000e+01
4.527686999999999898e+03 1.440000000000000036e+01
3.838623999999999796e+02 5.879999999999999716e+01
9.045605999999999369e+01 5.810000000000000142e+01
4.018806999999999903e+02 3.510000000000000142e+01
4.320384999999999991e+02 4.520000000000000284e+01
4.721745000000000232e+02 3.650000000000000000e+01
4.573779000000000451e+03 1.919999999999999929e+01
1.810766000000000133e+02 4.200000000000000000e+01
1.144435999999999922e+03 3.670000000000000284e+01
4.388512999999999806e+02 4.260000000000000142e+01
4.449270000000000437e+03 1.550000000000000000e+01
2.018939000000000021e+02 5.589999999999999858e+01
2.147376000000000204e+03 2.360000000000000142e+01
4.082014999999999873e+03 1.880000000000000071e+01
2.615465000000000146e+03 2.180000000000000071e+01
1.447286000000000058e+03 2.150000000000000000e+01
2.185128000000000156e+03 2.569999999999999929e+01
3.078175999999999931e+03 2.200000000000000000e+01
1.900391999999999939e+02 4.429999999999999716e+01
4.066586999999999989e+03 2.050000000000000000e+01
6.165734999999999673e+02 4.229999999999999716e+01
7.500703999999999496e+02 3.779999999999999716e+01
5.758944999999999936e+01 4.270000000000000284e+01
4.214789999999999850e+02 4.929999999999999716e+01
3.771894999999999982e+03 2.930000000000000071e+01
4.611016000000000190e+02 3.460000000000000142e+01
7.079067000000000007e+02 3.660000000000000142e+01
1.267286000000000001e+02 4.820000000000000284e+01
1.576051999999999964e+02 3.910000000000000142e+01
4.516419000000000210e+02 3.160000000000000142e+01
9.957554000000000087e+02 2.550000000000000000e+01
5.619845000000000255e+02 4.589999999999999858e+01
6.426984999999999673e+02 3.150000000000000000e+01
2.893247999999999820e+02 4.610000000000000142e+01
1.414836999999999989e+03 2.660000000000000142e+01
1.449721999999999980e+03 2.139999999999999858e+01
3.795575000000000045e+02 4.400000000000000000e+01
6.650635999999999513e+02 3.420000000000000284e+01
1.360138999999999896e+03 2.619999999999999929e+01
1.756294000000000040e+02 4.089999999999999858e+01
3.905683999999999969e+02 5.220000000000000284e+01
2.740144000000000233e+02 4.350000000000000000e+01
1.805664999999999964e+03 3.110000000000000142e+01
9.045605999999999369e+01 5.800000000000000000e+01
1.783180000000000064e+03 2.089999999999999858e+01
3.837128999999999905e+02 4.810000000000000142e+01
5.909292000000000371e+02 3.970000000000000284e+01
3.726241999999999734e+02 4.079999999999999716e+01
4.922312999999999761e+02 4.379999999999999716e+01
5.297771000000000186e+02 4.020000000000000284e+01
1.865100999999999942e+02 7.829999999999999716e+01
1.402016000000000076e+03 3.850000000000000000e+01
4.311114000000000033e+02 4.850000000000000000e+01
1.402016000000000076e+03 4.229999999999999716e+01
3.249418999999999755e+02 4.600000000000000000e+01
1.935844999999999914e+02 4.900000000000000000e+01
4.082014999999999873e+03 1.280000000000000071e+01
2.650609000000000037e+02 4.020000000000000284e+01
3.171329000000000178e+03 4.660000000000000142e+01
1.156412000000000035e+03 1.900000000000000000e+01
2.147376000000000204e+03 3.339999999999999858e+01
4.074735999999999876e+03 1.469999999999999929e+01
4.412765000000000327e+03 1.739999999999999858e+01
3.333679000000000201e+02 3.239999999999999858e+01
2.216612000000000080e+03 2.389999999999999858e+01
2.506310000000000002e+02 3.929999999999999716e+01
3.738389000000000237e+02 6.189999999999999858e+01
7.328528000000000020e+02 3.900000000000000000e+01
7.328528000000000020e+02 4.060000000000000142e+01
